Zynq_SoM_J1
Pin,Name,Side
1,VIN,left
2,VIN,right
3,VIN,left
4,VIN,right
5,VIN,left
6,VIN,right
7,VIN,left
8,VIN,right
9,VIN,left
10,VIN,right
11,VIN,left
12,VIN,right
13,VIN,left
14,VIN,right
15,GND,left
16,GND,right
17,GND,left
18,GND,right
19,STM32_USB_D_P,left
20,USB_ID,right
21,STM32_USB_D_N,left
22,USB_VBUS,right
23,GND,left
24,+3V3,right
25,+3V3,left
26,+3V3,right
27,+3V3,left
28,GND,right
29,STM32_USB_CC1,left
30,USB_D-,right
31,STM32_USB_CC2,left
32,USB_D+,right
33,STM32_GPIO1,left
34,GND,right
35,STM32_GPIO2,left
36,ZYNQ_PS_MIO8\VM1,right
37,+3V3_SC,left
38,VBUS_OUT_EN,right
39,GND,left
40,ZYNQ_PS_MIO7{slash}VM0,right
41,STM32_GPIO4,left
42,ZYNQ_PS_MIO10,right
43,STM32_GPIO3,left
44,GND,right
45,STM32_GPIO6,left
46,ZYNQ_PS_MIO12,right
47,STM32_NRST,left
48,ZYNQ_PS_MIO11,right
49,STM32_DAC1,left
50,ZYNQ_PS_MIO0,right
51,GND,left
52,ZYNQ_PS_MIO9,right
53,STM32_GPIO5,left
54,STM32_GPIO8,right
55,STM32_DAC2,left
56,+1V8,right
57,STM32_BOOT0,left
58,+1V8,right
59,STM32_GPIO7,left
60,+1V8,right
61,SDIO_D1,left
62,GND,right
63,GND,left
64,ZYNQ_TCK,right
65,SDIO_D0,left
66,ZYNQ_TMS,right
67,SDIO_CLK,left
68,ZYNQ_TDO,right
69,SDIO_CMD,left
70,ZYNQ_TDI,right
71,SDIO_D3,left
72,GND,right
73,SDIO_D2,left
74,IO_L1_P_35,right
75,GND,left
76,IO_L6_VREF_N_35,right
77,ETH_PHY_MDI3_N,left
78,IO_L6_P_35,right
79,ETH_PHY_MDI3_P,left
80,IO_L4_P_35,right
81,GND,left
82,GND,right
83,ETH_PHY_MDI2_N,left
84,IO_L4_N_35,right
85,ETH_PHY_MDI2_P,left
86,IO_0_35,right
87,GND,left
88,IO_L5_N_35,right
89,ETH_PHY_MDI1_N,left
90,IO_L5_P_35,right
91,ETH_PHY_MDI1_P,left
92,IO_L1_N_35,right
93,GND,left
94,ETH_LED2,right
95,ETH_PHY_MDI0_N,left
96,GND,right
97,ETH_PHY_MDI0_P,left
98,ETH_LED1,right
99,GND,left
100,IO_L2_N_35,right
